id_store;id_country;id_state;name;address1;address2;city;postcode;coordinates;phone;fax;email;note;active;hours_1;hours_2;hours_3;hours_4;hours_5;hours_6;hours_7;id_store
;145;62;Eukanuba;Av. Anillo Periférico 4690, Ampliación Jardines del Pedregal, Coyoacan;Centro Comercial Perisur;Mexico, CDMX;6100;19.3029621,-99.1891398;15556060058;;;;;;;;;;;;
;145;62;Eukanuba;Prado Norte 381, Lomas de Chapultepec, Miguel Hidalgo;Calle;Mexico, CDMX;11000;19.4277427,-99.2102518;15555400379;;;;;;;;;;;;
;145;62;Eukanuba;Av. Coyoacan 2000, Xoco, Coyoacan;Centro Comercial Coyoacan;Mexico, CDMX;3330;19.3600142,-99.1702972;15556010436;;;;;;;;;;;;
;145;62;Eukanuba;Centro Comercial l368, Fraccionamiento Ciudad Satélite, Naucalpan;Plaza Satélite;Naucalpan, Estado de México;53100;19.5099644,-99.2342408;15555725668;;;;;;;;;;;;
;145;62;Eukanuba;Calz. Del Hueso 519, Residencial Acoxpa, Tlalpan;Galerías Coapa Local 138;Mexico, CDMX;14300;19.3022918,-99.1229097;15556797991;;;;;;;;;;;;
;145;62;Eukanuba;Av. Melchor Ocampo 193, Verónica Anzures, Miguel Hidalgo;Galería de las Estrellas Local G24;Mexico, CDMX;11300;19.4360849,-99.1713186;15552600757;;;;;;;;;;;;
;145;62;Eukanuba;Blvd. Toluca-Ixtapan 126, La Purísima, Metepec;Centro Comercial Galerías Metepec Loc. 101 ;Metepec, Estado de México;52140;19.2597499,-99.6209389;17222321292;;;;;;;;;;;;
;145;62;Eukanuba;Blvd. Manuel Avila Camacho, San Lucas Tepetlacalco, Tlalnepantla;Centro Comercial Mundo E;Tlalnepantla, Estado de México;55054;19.5251304,-99.2276845;15553669515;;;;;;;;;;;;
;145;62;Eukanuba;Vía José López Portillo 105, Zacuautitla, Coacalco;Plaza Las Flores Coacalco Local 59;Coacalco, Estado de México;55700;19.6342997,-99.0967432;15510393133;;;;;;;;;;;;
;145;62;Eukanuba;Av. Vasco de Quiroga 3800, Santa Fe, Cuajimalpa;Centro Comercial Santa Fe Local 474;Mexico, CDMX;5109;19.3615186,-99.2738342;15552580874;;;;;;;;;;;;
;145;62;Eukanuba;Av. Ejército Nacional 980, Polanco, Miguel Hidalgo;Pabellón Polanco;Mexico, CDMX;11510;19.4375876,-99.2071152;15555800736;;;;;;;;;;;;
;145;62;Eukanuba;Av. San Fernando 649, Peña Pobre, Tlalpan;Plaza Cuicuilco Local 51;Mexico, CDMX;14060;19.2981261,-99.1813709;15556064272;;;;;;;;;;;;
